Job Title,Company,Location,Job Description
Data Scientist,Vaco Lannick,"Toronto, ON","About the Opportunity Apply advanced statistical and machine learning techniques to build models for underwriting, experience studies, assumption development, pricing, and claims management Assist us to drive innovation, enabling new underwriting paradigms, distribution models, and data management Build and implement solutions that enable operational units, to improve quality and speed of core processes, in order to generate incremental revenue or reduce expenses Proactively research new ways of modeling data to unlock actionable insights or improve processes Effectively interpret modeling results, distill actionable insights and present them to partners Collaborate across functions, and with clients to use analytics to influence business decisions Work with existing data science groups and collaborate with internal partners, to leverage capabilities in big data technology  About You Undergraduate Degree in Computer Science, Engineering, Statistics, or Applied Mathematics with 3 years’ experience OR Graduate Degree in Computer Science, Engineering, Statistics, or Applied Mathematics, with 1+ years’ experience Insurance or financial services background would be an asset Actuarial examinations or designation would be an asset Expertise in advanced predictive analytic techniques Strong experience with Python or R Working knowledge of SQL (familiarity with multiple languages considered an asset) Experience working with analytics through the modeling lifecycle including gathering data, design, recommendations, testing, implementation, communication, and retraining Familiarity with cloud computing platforms (ex. AWS, Microsoft Azure, etc.) Familiarity with big data technologies (ex. Apache Spark, Hadoop, etc.), natural language processing, and deep learning frameworks (ex. TensorFlow, Pytorch, etc.) would be assets Excellent communication skills, ability to interpret modeling results, and convey them to partners Fast-learner with a drive to make a difference Ability to thrive in a dynamic environment and successfully deliver on multiple assignments under deadlines  How to Apply Click the “Apply Now” button and follow the instructions to submit your resume. Please note that we only accept documents in MS Word or Rich Text formats. When referencing this job, quote #29411.  You must currently reside within the Greater Toronto Area and be permitted to work in Canada to be considered for this opportunity. A recruiter will be in touch with you if your profile meets our client’s requirements for this role.Lannick30+ days ago Report job"
Lead Data Scientist,Vox Pop Labs,"Toronto, ON","The companyVox Pop Labs is a certified social enterprise that builds innovative digital products and services to help people make more informed decisions. We use data science to convey information to the public in ways which are at once easily accessible, empirically rigorous, and profoundly personalized.For more than a decade Vox Pop Labs has been working to advance civic engagement, political representation, and democratic participation with initiatives such as Vote Compass, which has been used by millions of people in dozens of elections worldwide.Vox Pop Labs has delivered numerous other successful digital products while also developing a burgeoning public opinion research practice with a focus on politics, public policy, and public affairs. More recently the company has expanded to include decision optimization products beyond the political domain and is presently developing a new vertical around decision optimization related to post-secondary education.Headquartered at McMaster University in Hamilton, Ontario, the Vox Pop Labs team is remotely distributed across Canada and worldwide.The roleAs lead data scientist you will be the most senior member of the data science team. This is a role which will involve managing direct reports, working with other team leads, liaising with project partners, and reporting directly to the CEO. As with all team leads at Vox Pop Labs, you will also be an individual contributor to both new and ongoing projects with partners in sectors such as media, government, and academia. You will work with a close-knit team in a flexible and supportive environment made up of smart, passionate people doing meaningful work.In your capacity as lead data scientist you will: Apply methodological innovations to challenging research questionsDevelop and implement statistical and machine learning models in web applicationsDesign and implement end-to-end data pipelinesAnalyze survey dataReport, visualize and communicate results of data analysisAutomate production of analytics where possibleManage complex databasesContribute to academic researchProactively identify and champion projects that improve internal processesPartner closely with colleagues on the leadership team to influence product decisionsDefine and advance best practices within data science and product teamsYou’re a great fit if you: Are solution-oriented with an interest in difficult and complex social and data science problemsAre detailed oriented and committed to producing high calibre workHave excellent time management skills, the ability to accurately scope a project, and always deliver on timeHave the ability to maintain focus on the task at hand and see it through to completionHave excellent communication skills with both internal and external stakeholdersHave a graduate degree in data science, statistics, economics, computational social science, or a related fieldHave a strong working knowledge of and experience with the R programming languageHave experience working with Rmarkdown (e.g. knitting of dynamic documents)Have a strong working knowledge of and experience with Python and SQLHave both theoretical as well as working familiarity and experience with statistical methods such as factor analysis, PCA, item-response-theory, ideal points, regression, dimensionality reduction, clustering, Bayesian statistics, etc.Have both theoretical as well as working familiarity and experience with supervised machine learning methods such as random forest, boosting, Linear Discriminant Analysis, SVM, neural networks, etc.You’re an amazing fit if you also: Have experience supervising a small team of data scientists who range from junior to senior levelsAre fluent in FrenchHave an interest in politics and governmentAre occasionally willing to travel and work in different time zonesAs an equal opportunity employer, we celebrate diversity and are committed to creating an inclusive environment for all employees.All qualified candidates are encouraged to apply; however, Canadians and permanent residents will be given priority.Applications will be reviewed on a rolling basis and so we encourage you to apply as early as possible.Start Date will be no later than August 3, 2021.Expected start date: 2021-08-03Job Types: Full-time, Permanent Salary: $80,000.00-$120,000.00 per year Benefits:Casual dressDental careExtended health carePaid time offVision careSchedule:Monday to FridayWork remotely:Yes 14 days ago Report job"
Data Scientist - 312112,Procom,"Toronto, ON","Data Scientist On behalf of our client in the Banking Sector, PROCOM is looking for a Data Scientist. Data Scientist – Job Description The contractor is responsible for developing and implementing quantification methodologies for Business Banking credit risk parameters, which are key drivers to the risk rating system, internal processes and regulatory processes Develop, implement and maintain risk quantification methodologies for non-retail credit risk parameters such as PD, LGD and UGD Perform research and analysis of applicable methodologies; present and recommend appropriate alternatives; implement estimation methodologies Benchmark internal estimates with external models and/or data sources; provide analysis and recommend actions as appropriate Implement and maintain a rigorous framework of internal controls and comprehensive documentation for various applications and databases used in parameter estimation Communicate results of analyses through documentation to internal/external audiences, and effectively manage the interface with relevant parties such as Validation, Audit, and Regulators Keep abreast with advances in credit risk analytics developments, products, and applications by vendors, consultants, regulatory agencies and competitors. Recommend/develop enhancements appropriate for the Bank  Data Scientist – Mandatory Skills Excellent computing development skills, particularly statistical and database modeling tools (i.e., SQL, Python, SAS, R, Access/VBA, etc.) well-developed ability to adapt to various programming languages and environments 1 year of hands-on experience in quantitative analysis and machine learning; exposure to quantitative analysis related to credit risk management and modeling is preferred In-depth understanding of statistical techniques and procedures related to analysis of various distributions, regression modeling, monte-carlo simulation and bootstrapping techniques Well-developed writing and presentation skills, including competence in comprehensively and concisely reporting and presenting the results of complex analyses Ability to efficiently manage multiple priorities to ensure timely delivery Attention to details, independence, and ability to effectively collaborate in teamwork Flexibility and creativity in problem solving A graduate degree (or equivalent) in Statistics, Computer Science or comparable quantitative discipline that includes rigorous exposure to statistical knowledge and techniques  Data Scientist – Nice to Have Skills 1+ years of experience in hands-on quantitative/statistical analysis, preferably related to the non-retail credit risk area in a major financial institution  Data Scientist - Assignment Start Date ASAP – 12 months to start Data Scientist - Assignment Location Toronto, ON – Work Remotely20 days ago Report job"
Advanced Analytics Operations Analyst,The Economical Insurance Group,"Mississauga, ON","Advanced Analytics Operations Analyst to be located in Toronto or Waterloo Offices LOVE WHAT YOU DO Work is a big part of our lives, so it makes sense to choose a company that offers truly rewarding work. At Economical Insurance®, your contributions, creativity, and energy won’t go to waste. Our passionate culture and pioneering mentality infuse everything we do, which is why our one-million-plus policyholders know we’ll protect their homes, businesses, farms, cars, and pets like they’re our own. We’re not afraid to see how far we can push the envelope to make insurance better. Our family of companies includes Sonnet, the only Canadian home and auto insurer offering a fully online buying experience, and Petline, the largest Canadian pet insurance company. We’re also preparing to become a publicly traded company, a once-in-a-lifetime career opportunity for everyone who joins our team. If you’re looking for a company that takes care of its people — and its customers — and has a track record of doing big things, get ready to love it here. As an Advanced Analytics Operations Analyst reporting to the Manager, Advanced Analytics, you will be responsible for building, deploying, and monitoring streamlined analytical tools & processes, leveraging statistical and machine learning models created by other members of the Advanced Analytics team. We are looking for creative, curious and analytical team members to join our Advanced Analytics team! What can you expect in this role? Use your creativity and curiosity to develop and deploy new analytical tools to help the business in their decision-making Uncover issues and trouble shoot existing tools and data processes, discover the fix and bring the solution to the team Learn our current tools and run reports to be visualized for leaders. Help leaders understand the story behind the numbers Apply data science methodologies to improve the consistency and accuracy of data Requests for more or different information, leading to report development, data checking and visual presentation of the requests Work collaboratively within your team to achieve the best results, communicate and share insights and best practices  What do you bring to the role? University degree in computer science, software engineering, data science, statistics, or a related discipline 1-3 years of professional work experience in a data analysis-related position Strong communication (verbal/written) and organizational skills Highly analytical, demonstrated ability to develop creative solutions to complex problems Strong proficiency in using the R programming language for data wrangling and analysis Strong programming skills and efficient use of Microsoft applications (e.g., Excel, Access, VBA) Knowledge of SAS & SharePoint is an asset  Successful clearance of a background checks including credit & criminal checks along with business references We also take potential into consideration. If you don’t have this exact experience, but you know you have what it takes, be sure to give us more insight through your application and cover letter. Go ahead and expect a lot — you deserve it. We offer:   Competitive salaries  Flexible work schedules  Bright, open workspaces and smart casual dress code  Three national employee resource groups focused on inclusion and the experience of immigrants to Canada, the LGBTQ+ community, and women in leadership  Onsite health and wellness programs  Spirit days and a company-wide social committee enhance our employee experience  Annual Economical Appreciation Week features team events and fun surprises HOW TO APPLY To complete the online application process, you’ll need to upload your resume and cover letter in one document. The posting will close at midnight on the deadline date; in order to successfully apply, please ensure your application is submitted by 11:59 p.m. the day before the deadline. Our inclusive work environment welcomes diversity and supports accessibility. If you require accommodation at any time during the recruitment process, please let us know by contacting: hrsharedservices@economical.com. Visit economical.com to learn more about us and what we’re up to.Today Report job"
"Lead, Data Science",Blockthrough,"Toronto, ON","At Blockthrough, our mission is to bring about an Internet where publishers and advertisers can build flourishing, sustainable businesses by delivering advertising experiences that respect the user’s choice. We work with some of the biggest publishers in the world, we’re backed by some of the brightest minds in the industry, and we’re looking for curious and analytical team players who like to win! Our Product Our product restores publishers’ existing monetization technologies for adblock users who consent to it, in a way that complies with the lighter Acceptable Ads standard, a happy middle ground for users and publishers. Users also have the ability to opt out if they prefer no ads at all. Through a complex cloud-based system, we use sophisticated algorithms and real-time analysis to determine which ads qualify for an optimal user experience, all in the time it takes for a website to load. We process vast numbers of requests, processing tens of billions of ad impressions per month. What you'll be doing Define the strategy for applying data science principles to increase advertising yield across our network.Own our data architecture, ensuring data integrity across our cloud-based systems.Continuously investigate performance datasets, benchmarking them against expected performance, and identifying opportunities for improvement.Draw insights from our data to formulate hypotheses around new strategies, tactics, features, workflows and bug fixes that will drive greater yield or eliminate revenue leakage across our network, and work with relevant internal stakeholders to define and deliver such improvements.Extract and transform data from existing data sources, perform ad-hoc analysis, report analysis results, identify performance anomalies and revenue opportunities.Glean insights from our performance datasets and disseminate across relevant stakeholders to help inform our commercial decision making.Work cross functionally to identify business insights and opportunities within historical performance datasets and identify the driers behind our poorest and strongest performing customers.  What You'll Need 4+ years professional experience of using data to solve real-world problemsExperience applying multiple software tools and languages to provide analytical and visualization solutions (I.E. SQL, Tableau, BigQuery, Python etc)Experience with cloud platforms (GCP, AWS).BS in Computer Science, Engineering, or other data science related technical field or equivalent work experience.Advanced Excel skills including creating pivot tables.Be able to move quickly and resolve blockers autonomously. Why you’ll love working at Blockthrough: Close-knit and collaborative culture with transparent leadership that cares Competitive compensation (including health benefits) and stock options at a fast-growing startup 4 weeks vacation Top-of -the-line hardware Optimal work-life balance Up to $1k home office reimbursement Professional Development Compensation 100% remote or the opportunity to work out of our central downtown Toronto office, surrounded by some of Toronto’s hottest scaleups We value inclusiveness, diversity and are an equal opportunity employer. We do not discriminate based on race, religion, colour, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.2 days ago Report job"
Scientist – Machine Learning,Deep Genomics,"Toronto, ON","About Us Deep Genomics is a Toronto-based startup company that is changing the future of medicine using artificial intelligence. Founded in 2015, Deep Genomics brings together a multidisciplinary team of world-leading experts in machine learning, genomics, chemistry and biology. Together we are on a mission to develop an AI-powered platform for rapid discovery and development of the best genetic medicines, focusing on oligonucleotide drugs for the treatment of patients with rare genetic diseases. Ideal Candidate We are seeking a creative and experienced machine learning scientist to decipher how mutations and genetic medicines influence the molecular world of the cell. The successful candidate will develop machine learning approaches for modeling complex RNA- and protein-level outcomes based on massively parallel assays. The ideal candidate has a proven track record of publishing at top machine learning conferences (NIPS, ICML, ICLR) or has applied deep learning to genomics in a top life sciences journal. Requirements/Qualifications MSc (Junior Scientist) or PhD (Senior Scientist) trained in machine learning. Extensive practical experience at systematically designing, training, debugging, and evaluating neural networks using modern frameworks such as Tensorflow, PyTorch, or Theano. Excellent scientific writing and presentation skills. Senior Scientists must demonstrate leadership and ability to introduce new machine learning techniques. What we offer: A chance to develop machine learning techniques that will save human lives. Inspiring, creative, and fast-moving startup work environment in downtown Toronto Competitive compensation package including stock options Deep Genomics thanks all applicants, however only those selected for an interview will be contacted. Deep Genomics welcomes and encourages applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process.1 day ago Report job"
Data Scientist - AML - 312972,Procom,"Toronto, ON","Business Analyst On behalf of our client in the Banking Sector, PROCOM is looking for a Business Analyst. Business Analyst – Job Description Reporting to the Advanced Analytics Manager, the Data Scientist I will be conducting all analytical activities related to AML transaction monitoring systems Provide maintenance of transaction monitoring scenarios, and analytical queries in support of the bank's strategic efforts to mitigate money laundering and terrorist financing risk Conduct activities related to AML/ATF scenario performance review and tuning Help maintain a structured documentation process to demonstrate an effective scenario review program to satisfy audit, compliance, and regulatory requirements With assistance from management, assist with scenario related issues/questions from Global AML members, audit, and other partners Provide solutions where there is a need for advanced quantitative, statistical, and analytical skills Undertake ad hoc data mining research projects to find hidden patterns and potential anomalies within data Partner with GAML teams to implement changes to existing solutions and/or the implementation of alternative solutions Use statistical and data mining techniques to build and maintain effective and efficient transaction monitoring, customer behavior, and risk scoring machine-learning models Communicate results to various stakeholders and ensure they fully understand implications of relevant measures  Business Analyst – Mandatory Skills Masters’ degree or higher in Statistics, Computer Science/Software Engineering Expert knowledge of SAS, SQL, R & Python are essential Ability to apply statistical techniques and data mining tools to solve business problem 3+ years of experience in data modeling/machine learning Experience in query optimization, debugging and automation Strong knowledge of Microsoft Office suite, including Excel and PowerPoint Excellent written and oral communication, analytical and interpersonal skills, including ability to communicate with individuals from various backgrounds Excellent multi-tasking skills, ability to adapt to and manage changing priorities  Business Analyst – Nice to Have Skills AML knowledge is an asset  Business Analyst - Assignment Start Date ASAP – 20 months to start Business Analyst - Assignment Location Toronto, ON – Work Remotely10 days ago Report job"
Retail Intelligence and Analytics Manager,Procter & Gamble,"Toronto, ON","Procter & Gamble is looking to develop the next generation of leaders in the world of technology. We are looking for recent graduates who are eager to help transform the way we do business through technology and innovation. If you are passionate about data and technology and wish to learn and grow continuously, a career at P&G is the right fit for you. Full-time roles are starting September 8th, 2021 ,located at our Canadian Headquarters in Toronto, Ontario. To learn more about our Information Technology roles in this link: https://www.pgcareers.com/informationtechnology What can you expect? You can expect meaningful work from Day 1. In this role, you will use cutting edge technology, an industry leading data solution architecture and governance model to solve real P&G business problems. In any position you play, you will have the opportunity to: Deliver results with measurable real business value  Work autonomously and in multidisciplinary teams, while building relationships and collaborating with others  Use data, technology, and innovation to drive business value  Communicate effectively on your work status and ask others for help to remove roadblocks as needed  Gather, analyze, validate, and manage requirements and turning business into technical requirements  Be ""hands on"" with technical design, including reviewing and writing code  Lead solution development, quality assurance, and release management What would make you a great fit? Passion for data and technology, with a proven track record of leadership and success  Ability to build relationships and work in diverse, multidisciplinary teams  Superb communication, problem solving and analytical skills  Passion for User Experience Research and Design  Development experience in MS Azure and PowerBI. Graduates with Engineering, Computer Science, Mathematics and Business backgrounds have typically found our roles to be a good fit with their interests, but we have had successful hires from a variety of other disciplines as well. We encourage recent graduates from all disciplines to apply. About us: Join a world class team at P&G Canada, which has been named one of Canada's Top 100 Employers, Canada's 10 Most Admired Corporate Cultures, Canada's Best Diversity Employers, and Canada's Top Employers for Young People. From Day 1, you'll help fulfill our purpose of improving lives for 5 billion consumers in 180 countries through leading, billion-dollar brands.We believegreatideas emerge from the creative connections that happen between our talented employeesand we encourage our multi-functional teams to work together to come up with new ideas to address challenges we face. Qualifications  Bachelor's or Master's degree.  0-3 years of experience after graduation from a post-secondary institution.  Familiarity with Microsoft Azure Services such as Databricks, Azure Analysis Services & Azure DevOps.  Experience with data visualization tools like Power BI or Tableau.  Data Science knowledge and skills are an asset - Statistics, Attributive & Predictive analytics & Machine Learning.  Experience with Programming / Database languages & tools: Python, SQL, KNIME.  Skills related to CICD and Agile DevOps are an asset  Please complete your job application and online assessments by 11:59pm on Friday July 9th , 2021 . For an overview of our assessments process, please click here. Assessment scores are valid for 12 months; to apply previous scores please click on the assessment link(s). If your score has expired you will be prompted to re-write the assessments. Additional Information: Sponsorship for work authorization is not available for this role. It is the applicant's responsibility to ensure they are authorized to work in the location to which they apply. We are an equal opportunity employer and value diversity at our company.Underrepresented candidates including, but not limited to, People with disabilities, female and/or Black, Indigenous, Asian, Latin American, or two or more races are strongly encouraged to apply. P&G is committed to accommodating any applicant with a disability, as required by law, during the recruitment, assessment, and selection process. If you require a disability related accommodation in order to participate in the recruitment process, please click here to submit your request. Bachelor's or Master's degree.  0-3 years of experience after graduation from a post-secondary institution.  Familiarity with Microsoft Azure Services such as Databricks, Azure Analysis Services & Azure DevOps.  Experience with data visualization tools like Power BI or Tableau.  Data Science knowledge and skills are an asset - Statistics, Attributive & Predictive analytics & Machine Learning.  Experience with Programming / Database languages & tools: Python, SQL, KNIME.  Skills related to CICD and Agile DevOps are an asset  Please complete your job application and online assessments by 11:59pm on Friday July 9th , 2021 . For an overview of our assessments process, please click here. Assessment scores are valid for 12 months; to apply previous scores please click on the assessment link(s). If your score has expired you will be prompted to re-write the assessments. Additional Information: Sponsorship for work authorization is not available for this role. It is the applicant's responsibility to ensure they are authorized to work in the location to which they apply. We are an equal opportunity employer and value diversity at our company.Underrepresented candidates including, but not limited to, People with disabilities, female and/or Black, Indigenous, Asian, Latin American, or two or more races are strongly encouraged to apply. P&G is committed to accommodating any applicant with a disability, as required by law, during the recruitment, assessment, and selection process. If you require a disability related accommodation in order to participate in the recruitment process, please click here to submit your request.4 days ago Report job"
"Data Scientist, Ecommerce",Square,"Toronto, ON","Company Description Square builds common business tools in unconventional ways so more people can start, run, and grow their businesses. When Square started, it was difficult and expensive (or just plain impossible) for some businesses to take credit cards. Square made credit card payments possible for all by turning a mobile phone into a credit card reader. Since then Square has been building an entire business toolkit of both hardware and software products including Square Capital, Square Terminal, Square Payroll, and more. We’re working to find new and better ways to help businesses succeed on their own terms—and we’re looking for people like you to help shape tomorrow at Square.  Job Description This role will be focused on working with the product team to build and improve the Square Ecommerce experience. The ideal candidate understands and loves seeing the impact of their work translate into product changes and improvements. The role will involve working on the product from end-to-end, thinking about everything from how a merchant sets up their online presence to how a shopper browses online. You’ll be formulating analyses using a rich dataset to track feature usage and performance, identify potential gaps and opportunities, and make recommendations to stakeholders. In addition to the day-to-day tasks, this role will challenge you to think strategically and contribute to high-level discussions with senior leadership and peers across Square. You will: Partner with product managers, engineers and senior strategy leaders to improve the product. Make sure the right questions are being asked, solicit feedback, and iterate until you reach meaningful conclusions backed by solid analysis Develop tools & resources to empower data access and self-service so your advanced expertise can be leveraged where it is most impactful Apply a diverse set of tactics such as statistics, quantitative reasoning, and machine learning; discerning where simple analytics solutions (e.g. a quick visualization) are preferable to complex solutions (e.g. machine learning). Contribute to the data strategy of product engineering, influencing engineers to make well-informed architecture and design decisions that affect data at Square Break down nuanced, complex data for stakeholders, keeping context at the forefront of communication Be faced with tough, open-ended questions. You’ll need to stay focused and be judicious about where you spend your time when there are endless possibilities Roll up your sleeves to solve problems and challenge assumptions. Don’t be afraid to speak up when you’ve formulated a well substantiated opinion  Qualifications You have: 3+ years of product-focused data science experience or equivalent Fluency in SQL Experience performing data analysis and machine learning using Python or R Ability to understand complex business and data systems; versatility and willingness to learn new technologies on the job Great product instincts and natural curiosity Ability to manage competing priorities from multiple stakeholders, develop trust, and accept feedback Confident and thoughtful communication style Excellent troubleshooting skills and attention to detail Even better: A degree (B.S., M.S., PhD.) in Mathematics, Statistics, Computer Science, Physical Sciences, Economics, or a related technical field Experience with a BI tool such as Looker or Tableau Experience with data warehouse design, development and best practices Technologies we use and teach: SQL (Snowflake) Python (pandas, scikit-learn, etc.) ETL best practices Looker, Amplitude Additional Information  At Square, our purpose is to empower – within and outside of our walls. In order to build the best tools for the businesses and customers we support all over the world, we have to start at home with a workforce as diverse and empowered as our sellers. To this end, we take great care to evaluate all employees and job applicants equally, based on merit, competence, and qualifications. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, disability status, or any other characteristic protected by law. We encourage candidates from all backgrounds to apply. Applicants in need of special assistance or accommodation during the interview process or in accessing our website may contact us by sending an email to assistance(at)squareup.com. We will treat your request as confidentially as possible. In your email, please include your name and preferred method of contact, and we will respond as soon as possible.  Perks  At Square, we want you to be well and thrive. Our global benefits package includes:  Healthcare coverage Retirement Plans Employee Stock Purchase Program Wellness perks Paid parental leave Paid time off Learning and Development resources1 day ago Report job"
"Manager, Data Science - Machine Learning TORONTO, ONSOFTWARE",Tonal,"Toronto, ON","Who We Are Tonal is the smartest home gym and personal trainer. It has completely revolutionized the way people work out at home, with its sleek design and advanced A.I. technology. We’ve united a diverse team of experts and decades of research to reinvented strength training, making it more efficient, more effective, and more engaging. With this in mind, we want to bring that same innovative approach to the workplace. At Tonal, we continue our shift of emphasis by growing our instrumental team. We collectively weave our knowledge and creativity, as we redefine the future of fitness. We are passionate about building products that transform lives, and building teams that transform the status quo. Together, we can be our strongest. What You Will Do Lead a team of passionate data scientists focused on modeling members’ fitness performance and providing weight recommendationsDevelop algorithms to sense, understand, and derive insights on human motion while exercising via computer vision, pose detection, and more.Review the team’s designs, algorithms, and code while also spending time developing your ownLead the initiative to fully leverage the world's largest and best fitness data setCollaborate closely with fitness experts on training methodologies. Validate and innovate on new more effective training methodologies using a data-driven approachWork closely and collaborate with front-end and back-end teams to take the team’s work to productionDrive the direction of Tonal’s architecture, data collection, analytics, infrastructure, tools, and learning systemsLeverage your creativity to identify innovative opportunities for new data-driven features Who You Are Advanced degree in engineering, scientific, or mathematical field5+ years data science experience2+ years leading and/or managing technical teamsKnowledge of machine learning and signal processing algorithmsWorking experience with data filtering and cleansing techniquesStrong knowledge of Python and SQLWorking knowledge of software development, including RESTful APIsTeam player with high integrityOpen to feedback and constantly striving to learn and improveHigh degree of self-awareness Tonal is committed to meeting the diverse needs of people with disabilities in a timely manner that is consistent with the principles of independence, dignity, integration and equality of opportunity. Should you have any accommodation requests, please reach out to us via our confidential email, accessibility@tonal.com. All requests will be addressed and responded to in accordance with Tonal’s Accessibility Policy and local legislation.30+ days ago Report job"
Data Scientist Lead,AIR MILES,"Toronto, ON","It's fun to work in a company where people truly BELIEVE in what they're doing ! Job Description Data Scientist Lead The Analytics & Insights Team at AIR MILES® is looking for a Data Scientist Lead The A&I Team is a group of 100+ individuals working across different disciplines within Data & Marketing Analytics, Data Engineering, Data Science, Data Products, and Market Research. We work collaboratively with our internal stakeholders and our external business partners across industries such as Grocery, Banking and Retail to design, develop and execute loyalty marketing analytics solutions using one of Canada’s largest transactional databases and best-in-class technologies. Come join us on our journey to becoming Canada’s most recognized loyalty program. Benefits and Perks at AIR MILES: COVID-19 Work-from-Home safety response Annual Wellness Subsidy Loyalty Days and Anniversary Air Miles Recognized as Canada’s Top Employer Extensive Learning and Development Tools and Programs Flexible Work Arrangements Tuition Reimbursement Summer Hours Program AIR MILES Gold® Collector Group RRSPs & Company match Wellness Resources including Cognitive Behavioural Therapy Volunteer Paid Time Off Program There’s a reason we’re recognized as one of the best places to work year after year: We give you more than a place to work, we give you a place to grow your career. That’s what sets us apart. What Will You Work On? The Data Scientist Lead will owng the strategic vision/execution over an area of competency (product, process, or R&D efforts). How Will You Create Impact? Contribute or lead all areas of project delivery, managing technical/analytical components of projects, including project planning, definition and scoping. Work with Client teams and other specialists throughout project Identify new business opportunities and develop analytical road map based on Clients objectives and marketing strategies Develops standards and processes for integration projects and initiatives Works with peer developers to make sure that all data solutions are consistent and ensures all automated processes to preserve data by managing the alignment of data availability and integration processes Codes, tests, and documents new or modified data systems to create robust and scalable applications for data analytics Translates complex functional and technical requirements into detailed architecture, design, and high performing software and applications Collects, parses, manages, analyzes and visualizes large sets of data using multiple platforms. Delivers big data and batch/real-time analytical solutions that leverage emerging technologies Design, develop, and implement end-to-end cloud based machine learning production pipelines (data exploration, sampling, training data generation, feature engineering, model building, and performance evaluation) Let’s Talk About You: Proficient with relevant programming/tools: Python, SQL, Spark and relevant data science tools such as Pandas, Scikit-Learn, NumPy, Matplotlib, etc.) Expert in Machine Learning, Statistical Analysis, Predictive Analytics, Data Processing, Data Visualization Techniques, Fundamental Data Structures and Algorithms Execution of best practice analytics methodology SME in FI/retail/loyalty industry Job Family: Analytics Job Type: Regular Line of Business:AllianceData6 days ago Report job"
Machine Learning Engineer,"Southern Graphics Systems, Canada Co.","Toronto, ON","Profile The machine learning engineer designs, develops and deploys machine learning solutions to meet enterprise goals and support experimentation and innovation. The engineer collaborates with developers and data scientists to identify innovative machine learning solutions that leverage data to meet business goals. The machine learning engineer ensures infrastructure and data pipelines are structured to deploy machine learning solutions. Key Responsibilities Understands and translates business and functional needs into machine learning problem statements Translates complex machine learning problem statements into specific deliverables and requirements Designs and develops scalable solutions that leverage machine learning and deep learning models to meet enterprise requirements Works closely with data scientists and data engineers to develop machine learning algorithms Works closely with UX designers and product teams to improve the product user experience Translates machine learning algorithms into production-level code Collaborates with development teams to test and deploy machine learning models Creates metrics to continuously evaluate the performance of machine learning solutions Maintains and improves the performance of existing machine learning solutions Ensures adherence to performance standards and compliance to data security requirements Keeps abreast with new tools, algorithms and techniques in machine learning and works to implement them in the organization Skills Bachelors. or Master’s degree in computer science or related fields 2+ years of programming in python Experience working with ML, deep learning models Experience deploying ML/deep learning models on cloud Experience with docker and Kubernetes Strong knowledge of SQL, Cassandra Experience working with cloud platforms such as Azure, GCP, AWS Strong foundation in data pipelining, streaming Strong communication- problem-solving skills and a strong team player Experience Bachelors or Master’s degree in computer science 3+ years of programming in python 2+ years working experience with Azure products such as function apps, event hub, blob storage, AKS etc. Experience working with tensor flow, PyTorch and Keras Experience with docker and Kubernetes Worked on projects related to Data , ETL pipelines (Airflow etc.) Worked on deploying deep learning models at scale on cloud Strong knowledge of SQL databases. Education Requirements Bachelors or Master’s degree in computer science data science, applied mathematics, computer science or otherwise research-based field; Master’s degree preferred2 days ago Report job"
Machine Learning and AI Developer,TalentSphere Staffing Solutions,"Toronto, ON","Machine Learning & AI Developer Information Technology Toronto - Remote Competitive Salary & Benefits Excellent career development opportunities   Our client is a leading SaaS Data company in inventory marketing technology, helping their clients better align their marketing strategies to achieve sales growth. The Machine Learning & AI Developer is responsible for the development and deployment of ML models to campaign management and distribution in their industry. The Ideal candidate has talent in applied machine learning to improve, optimize and lead further development their platform.  The Role: Design & development of robust machine learning algorithms Work with a world-class team of AI researchers and engineers Apply and utilize current emerging techniques, technologies, and tools Analyze, design, and determine coding, programming, and integration activities based on general objectives and knowledge of overall architecture of product Develop and combine complex data analysis techniques and methods Collaborate and communicate with management Taking projects from concept to production as efficiently as possible The Ideal Candidate: Bachelor or masters of Science in Computer Science, Engineering or other related fields 2+ years of software development experience 2+ years of machine learning and/or AI experience Experience in artificial intelligence, machine learning or related fields. Strong fundamentals in mathematics Fluent in Java, Python and/or other development languages Experience with TensorFlow, or other similar software is an asset27 days ago Report job"
